corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,qdj2.0,584,49879,0,598,20246,0
tg,qdj2.0,584,49879,0,20260,49879,0
tg,qdj2.0,49895,101904,0,49909,80852,0
tg,qdj2.0,49895,101904,0,80866,101904,0
tg,qdj2.0,101920,146030,0,,,
tg,qdj2.0,146045,185802,0,,,
tg,qdj2.0,185817,230627,0,,,
